geometry,园林名称,地址,开放状态,年代,名录,名录ID,园林ID,坐标系
string,string,string,string,string,string,string,string,string
POINT (120.51529 31.248791),榜眼府第,吴中区木渎镇下塘街32号,Open,未详,名录三,3,23,GCJ02
POINT (120.511694 31.251359),虹饮山房,吴中区木渎镇山塘街56号,Open,未详,名录三,3,24,GCJ02
POINT (120.426419 31.247246),瑞园,吴中区太湖度假区香山街道舟山村99号,Open,未详,名录三,3,25,GCJ02
POINT (120.434254 31.130346),小筑春深,吴中区临湖镇临湖路999号太湖园博园内,Open,未详,名录三,3,26,GCJ02
POINT (120.501571 31.262398),灵岩山寺花园,吴中区木渎镇灵岩山寺内,Open,未详,名录三,3,27,GCJ02
POINT (120.504136 31.27024),乡畦小筑,苏州市吴中区灵天路98号,Closed,未详,名录三,3,28,GCJ02
POINT (120.33961 31.038578),道勤小筑,吴中区东山镇杨湾寺前村,Closed,未详,名录三,3,29,GCJ02
POINT (120.376742 31.046525),醉石山庄,吴中区东山镇槎湾和杨湾之间环山路,Open,未详,名录三,3,30,GCJ02
POINT (120.765878 31.487442),后乐园,相城区阳澄湖镇凤阳路5号,Closed,未详,名录三,3,31,GCJ02
POINT (120.711963 30.989185),端本园,吴江区黎里镇黎里社区中心街68号大观弄底,Open,未详,名录四,4,1,GCJ02
POINT (120.70855 30.989311),南社通讯处旧址,吴江区黎里镇浒泾南路28号,Open,未详,名录四,4,2,GCJ02
POINT (120.62497 31.322153),尚志堂吴宅,姑苏区西北街88号工艺美术馆,Open,未详,名录四,4,3,GCJ02
POINT (120.635721 31.312782),全晋会馆,姑苏区平江路中张家巷14号,Open,未详,名录四,4,4,GCJ02
POINT (120.627743 31.323065),苏州博物馆花园,姑苏区东北街204号,Open,未详,名录四,4,5,GCJ02
POINT (120.628539 31.323392),忠王府,姑苏区东北街204号,Open,未详,名录四,4,6,GCJ02
POINT (120.634404 31.315317),墨客园,姑苏区平江路大新桥巷10号,Open,未详,名录四,4,7,GCJ02
POINT (120.610286 31.312294),揖秀园,姑苏区吴趋坊79-1号,Closed,未详,名录四,4,8,GCJ02
POINT (120.266632 31.096853),芥舟园,吴中区金庭镇东蔡村秦家堡,Closed,未详,名录四,4,10,GCJ02
POINT (120.58638 31.251666),石湖梅圃,苏州市吴越路47号上方山国家森林公园内,Open,未详,名录四,4,11,GCJ02
POINT (120.405272 31.085125),嘉树堂,吴中区东山镇金嘉巷18号,Closed,未详,名录四,4,12,GCJ02
POINT (120.321057 31.135785),维摩精舍,苏州市吴中区金庭镇金庭路5号·苏州园林雅舍客栈,Open,未详,名录四,4,13,GCJ02
POINT (120.530992 31.272117),惠和堂,吴中区东山镇陆巷古村内,Open,未详,名录四,4,14,GCJ02
POINT (120.363092 31.075002),怀古堂,吴中区东山镇陆巷古村内,Open,未详,名录四,4,15,GCJ02
POINT (120.3648 31.074014),宝俭堂,吴中区东山镇陆巷古村内,Open,未详,名录四,4,16,GCJ02
POINT (120.404222 31.079062),东山雕花楼,吴中区东山镇紫金路58号,Open,未详,名录四,4,17,GCJ02
POINT (120.404222 31.079062),雕花楼（任本堂）,吴中区金庭镇堂里村,Open,未详,名录四,4,18,GCJ02
